"Name";"English name";"Other name";"Genres";"Synopsis";"Type";"Episodes";"Aired";"Year";"Status";"Producers";"Licensors";"Studios";"Source";"Duration";"Image URL"
"SpoGomi: World Cup Exhibition Match-hen";"SpoGomi: World Cup Exhibition Match Arc";"スポGOMI ワールドカップエキシビジョンマッチ編";"Sports";"In the near future, litter-picking has become a competitive sport as popular as soccer.

Akari stands out the least in her class, but one day she meets Tokio—a charismatic SpoGomi competitor blessed with an overwhelming amount of talent and popularity. Thus starts a coming-of-age story that involves young people from around the world, united via SpoGomi and the aim to create towns, rivers and oceans free of garbage.

(Source: Official Website)";"ONA";"1";"2022/03/17";"2022.0";"Finished Airing";"Aoni Production";"UNKNOWN";"AION Studio";"Original";"28";"https://cdn.myanimelist.net/images/anime/1467/121515.jpg"
"C Danchi";"Housing Complex C";"C団地";"Horror";"""Housing Complex C"" centers around Kimi, who lives in a small, low-cost housing complex located in the seaside town of Kurosaki. Trouble seems to follow her wherever she goes, and horrific incidents begin to occur. Is an ancient evil stalking the residents of Housing Complex C? 

(Source: Variety, edited)";"TV";"4";"2022/10/02";"2022.0";"Finished Airing";"Production I.G";"UNKNOWN";"Akatsuki";"Original";"25";"https://cdn.myanimelist.net/images/anime/1378/121573.jpg"
"Bokura no Yoake";"UNKNOWN";"ぼくらのよあけ";"Drama, Sci-Fi";"In 2038, Yuuma Sawatari is an elementary school kid who loves everything about space and astronomy. He was initially excited when his parents bought a robot called Nanako, but he was disappointed when he learned that she was basically just a boring housekeeping robot. However, when he does finally try to talk to her about space, something strange happens. Her system crashes and is taken over by what claims to be a marooned alien ship! The alien ship wants Yuuma's help to get back to space! 

(Source: MangaHelpers)";"Movie";"1";"2022/10/21";"2022.0";"Finished Airing";"GAGA, Avex Pictures, Sonilude";"UNKNOWN";"Zero-G";"Manga";"120";"https://cdn.myanimelist.net/images/anime/1411/127593.jpg"
"Yoku";"UNKNOWN";"YOKU";"UNKNOWN";"Music video directed by Mai Yoneyama for the song YOKU by Eve. The song is inspired by the KATE YOKU Collection makeup line from KATE TOKYO.";"Music";"1";"2022/03/18";"2022.0";"Finished Airing";"UNKNOWN";"UNKNOWN";"P.I.C.S.";"Original";"3";"https://cdn.myanimelist.net/images/anime/1807/121603.jpg"
"Sukuwareru Ramiris";"UNKNOWN";"救われるラミリス";"Comedy, Fantasy";"Short animation released for a limited time on Bandai Spirits YouTube channel.";"ONA";"2";"2022/03/19";"2022.0";"Finished Airing";"UNKNOWN";"UNKNOWN";"8bit";"Manga";"3";"https://cdn.myanimelist.net/images/anime/1479/121607.jpg"
"Chinese Blue";"UNKNOWN";"チャイニーズブルー";"UNKNOWN";"Music video for the song Chinese Blue by meiyo.";"Music";"1";"2022/02/25";"2022.0";"Finished Airing";"UNKNOWN";"UNKNOWN";"UNKNOWN";"Original";"2";"https://cdn.myanimelist.net/images/anime/1503/121611.jpg"
"p.h.";"UNKNOWN";"p.h.";"UNKNOWN";"Animated music video for the song p.h. by SEVENTHLINKS feat. flower.";"Music";"1";"2020/05/29";"2020.0";"Finished Airing";"UNKNOWN";"UNKNOWN";"UNKNOWN";"Original";"2";"https://cdn.myanimelist.net/images/anime/1150/121612.jpg"
"Daraku Seikatsu";"UNKNOWN";"堕落生活";"UNKNOWN";"Animated music video for the song Daraku Seikatsu by DUSTCELL.";"Music";"1";"2022/03/04";"2022.0";"Finished Airing";"UNKNOWN";"UNKNOWN";"UNKNOWN";"Original";"2";"https://cdn.myanimelist.net/images/anime/1039/121620.jpg"
"Otomo Shimasu";"UNKNOWN";"オトモシマス";"UNKNOWN";"No description available for this anime.";"Music";"1";"2022/03/17";"2022.0";"Finished Airing";"UNKNOWN";"UNKNOWN";"UNKNOWN";"Original";"3";"https://cdn.myanimelist.net/images/anime/1456/121621.jpg"
"Hanma Baki: Son of Ogre 2nd Season";"Baki Hanma 2nd Season";"範馬刃牙 SON OF OGRE";"Sports";"Second season of Hanma Baki: Son of Ogre.";"ONA";"0";"2023/07/26";"2023.0";"Not yet aired";"UNKNOWN";"UNKNOWN";"TMS Entertainment";"Manga";"0";"https://cdn.myanimelist.net/images/anime/1800/135847.jpg"
